IP位址在中山区要不要查而已；尤其是鱼缸放毒藻已死了好几缸的鱼，前天、大前天到花莲去做庙的祭拜。一年来伤害研发者的所有设备·生灵，何辜…·如果你心爱的狗也接受如此待遇你可以接受吗？每天勤换水清缸让鱼能够活得开心长大，竟然还是进来，我有录影存证，侵入者不敢放太多的毒物，就直接把充氧的打气的管子拿掉形成虹吸原理，让鱼被吸进去卡在里面死亡，我相信这些一年来的'] 1.0 30 None 0
78 ['一年高端监控生技侵权霸凌，可入侵手机、宅、公司，破坏，来去自如，架空本人在手机前端为所欲为，监视器成反监控，锁换了又换没有，帐户转帐、盗刷、移走车侵占背信，所有连络人皆消失不见，电话全转语音…·利用智能手机技术阴陷害，轮流提告，一月4～6法案买收一切，截走通知书。伪造一切，夲人未到却有判决书，到案法官皆为代理，几乎收不到或前后颠倒证物图件，谁可以？报案即石沈大海；藐视法律、玩弄司法，灭生技自然科学研发专利人，台湾科技生技陷落？不被保护？'] 1.0 21 None 0
78 ['一年高端监控生技霸凌侵权团队，伤害迫害在你手机前端为所欲为，锁住所有客人，转走钱、开走车，你不理他，他却置你于死，报案即石沈大海，寻找现代包青天…·?'] 1.0 21 None 0
78 ['人体穴位，常用3、4百个，依人体弱点，排列组合，变化之下，读过机率？2n千次方，如何一招走天下？打死我，又能怎样？看生产记录，看了10遍你就会帮忙开刀生小孩是吗？不用经络学理？细胞学？物理学？电能？频寛？临床经验？数据呢？只要行销？保护伞？人命不重要？'] 0.997 30 None 0
78 ['DrJ研发中心022779024109873653492H现做现量，防疫随缘捐。忠孝复兴2号出口'] 0.04 36 None 0
78 ['防疫随缘捐，数据会说话。02277902410987365349忠孝复兴2号出口'] 0.122 29 None 0
78 ['一年电信入侵，架空本人，手机前为所欲为…·'] 0.994 21 None 0
78 ['一年电信霸凌侵槽迫害，可入侵手机、宅、公司，架空本人，加以编缉把盖上个资部份，刻意呈现，再轮流告发，可任意转帐扣款，伪造一切，不经本人line发给小孩即形成绑架危机，给国家即造成严重国安问题，不可忽视！?'] 1.0 24 None 0
78 ['近二年来；监控团队架空本人line·手机入侵宅、公司破坏，第一个伤的是监看者，一直告发，必须一直提供原委、证据。过不了监看者心中的坎，本来无一事，庸人自扰之。入侵家、公司窃取、转走帐款、买收所有，坏事做尽，毁灭了自己。'] 0.998 30 None 0
78 ['法院单累绩到9月了自导自演一切…?。近二年远端监控霸凌团队，架空本人…手机前为所欲为，持续把盖上个资，利用手机技术完全呈现，再轮流告发…··?灭20年原创研发者。'] 0.997 21 None 0
78 ['一年来，电信霸凌侵权，架空夲人line·fb·wechat··电话全转语音，个资外浅阴陷害，台哥大平均两天去一次，完全被踢出，转走钱，安排人来公司乱，消灭拥有专利研发者，报案即石沈大海，监视器全暂停成反监控，谁可以？'] 0.993 21 None 0
78 ['没有委托代理人去告，法官提醒怎么都没来？没收文如何来？才去查所有收发，2022年3/25前连同帐单、受话记录全被截走…·自导自演买收一切？安家保全徐经理不提供监视录影，甚至告诉你4/1、2、3都没人，你信吗？有提告建国派出所、一样石沈大海…··'] 1.0 29 None 0
78 ['没有委托代理人去告，法官提醒怎么都没来？没收文如何来？才去查所有收发，2022年3/25前连同帐单、受话记录全被截走…·自导自演买收一切？安家保全徐经理不提供监视录影，甚至告诉你4/1、2、3都没人，你信吗？有提告建国派出所、一样石沈大海…··'] 1.0 29 None 0
78 ['从我手机chrome进去，发现手机前端监控历史记录IP位置…·美国软体，台湾人操作？why'] 1.0 21 None 0
78 ['从我手机chrome进去，发现手机前端监控历史记录IP位置…·美国软体，台湾人操作？why'] 1.0 21 None 0
78 ['一年来；架空手机同人同事、同分局、重复提告，刚才才收到不起诉书，又去提告，可以如此？玩司法，藐视法律？再变相勒索？'] 0.989 29 None 0
78 ['莫名当了二年乌克兰感言：我从事20年自然金属人体科技研发草本、自然防疫…·结缘：三高、肿瘤、各式酸痛、睡眠··做之前量，做之后再量，观其变化。人体前后近200穴位做调整。不对外，但需要人体数据做穴位调整、及物理波型做结合。1103/20前员工入侵后…·之前；美、海峡两岸都有来谈过技术移转，可能区域广，金额高，引起员工、贪欲之心。电信监控开始：手机千余位连络人无缘由消失·客人找不到我，我找不到客人？入侵手机、帐户、公司为所欲为…·架空本人，说了头壳坏掉故事，重复截图改制发给所有人…再告发索价？速帐都做了手'] 0.996 22 None 0
78 ['近二年，电信入侵，架空本人，手机前改造、为所欲为…再集体发出？嫁祸消灭？??一切唯心造…··??'] 0.998 46 None 0
78 ['DrJ/元兰20年人体自然科学医研发中心/数字会说话/2h欢迎生技、医事人员洽讯体验忠孝复兴2号出口022779024109585253290987365348'] 0.642 36 None 0
78 ['DrJ/元兰20年人体自然科学医研发中心/数字会说话/2h欢迎生技、医事人员洽讯体验忠孝复兴2号出口022779024109585253290987365349'] 0.623 36 None 0
78 ['DrJ20年香兰人体自然科学医研发中心仁爱路三段123巷，无分店勿受骗！数字会说话、欢迎生技、医事人员体验/2h忠孝复兴2号出口走路8分钟022779024109873653490958525329'] 0.054 24 None 0
78 ['DrJ20年香兰人体自然科学医研发中心仁爱路三段123巷，无分店勿受骗！数字会说话、欢迎生技、医事人员体验/2h忠孝复兴2号出口走路8分钟022779024109873653490958525329'] 0.054 24 None 0
78 ['DrJ20年香兰人体自然科学医研发中心仁爱路三段123巷，无分店勿受骗！数字会说话、欢迎生技、医事人员体验/2h忠孝复兴2号出口走路8分钟022779024109873653490958525329'] 0.054 24 None 0
78 ['DrJ20年香兰人体自然科学医研发中心仁爱路三段123巷，无分店勿受骗！数字会说话、欢迎生技、医事人员体验/2h忠孝复兴2号出口走路8分钟022779024109873653490958525329'] 0.054 24 None 0
78 ['近二年；封锁n次，来去自如？讯问私人司法长官社团；盗图改变、重复发送、或刻意呈现模糊？孤立再消灭？盗帐号，抹黑，散播不实谣言如精神有问题？是否购成犯罪？??'] 0.999 49 None 0
78 ['证据呈现，透明、公断！没有党派之别；正道而行，不能强欺弱、霸凌，抺黑、！造假言论自由··反对党、媒体，这是一个国家政府，精进所必备的。不是拿钱就可以办事，没有公理，上天必灭！??'] 1.0 1 None 0
78 ['证据呈现，透明、公断！没有党派之别；正道而行，不能强欺弱、霸凌，抺黑、！造假言论自由··反对党、媒体，这是一个国家政府，精进所必备的。不是拿钱就可以办事，没有公理，上天必灭！'] 1.0 1 None 0
78 ['架空本人，手机前伪所欲为，好人坏人都演了？抹黑一切？演很大？演二年？一切唯心造…·??'] 0.996 40 None 0
78 ['架空本人，手机前伪所欲为，好人坏人都演了？抹黑一切？演很大？演二年？一切唯心造…·??'] 0.996 40 None 0
78 ['架空本人，手机前伪所欲为，好人坏人都演了？抹黑一切？演很大？演二年？一切唯心造…·??'] 0.996 40 None 0
78 ['架空本人，手机前伪所欲为，好人坏人都演了？抹黑一切？演很大？演二年？一切唯心造…·??'] 0.996 40 None 0
78 ['电信入侵，架空本人，用你line使说话，再截图改制告发？不会说脏话说脏话了？呈模糊或重复发6～8则，形成精神问题假象，再以和解告发勒索？如果是你家人，你怎么帮她、他？'] 0.993 45 None 0
78 ['近二年；电信入侵；Now9/25人在大安区，位置却在中山区？美国软体？控制台湾？除仁爱路三段12*巷，研发中心外，无分店，请小心??备战？保护？控台？卖台？架空我也可架空其他人？控制主机在中山？被有心人操控！私心？控金融？电信？电能？佑台湾?国安？'] 1.0 24 None 0
78 ['电信霸凌团队；预约咨询制；隔空抓薬？隔空陷害？截相片改变再告发勒索？邓*光/look，这个久未见面的客人，称经过来探望，进来一直用自己笔电，坚称收一下邮件，至少半小时上，来看我？一直用他笔电扫描，有其他客人可作证，客人也觉奇怪？不是来看你，一直做他的事？我拔掉了一些被入侵奇怪加装设备，昨10/5下午320又来了，按楼下铃，我回；忙客人，不给进…·??报宅、公司入侵破坏，即石沈大海，却一直接法案，没告发、委托，却有判决书？无中生有，还要和解索高费？忘了帐密；问google…·，'] 0.997 36 None 0
78 ['架空二年，坏人好人都演了？演很大？再来？…·未来在那？这样就满足了？??一切唯心造'] 0.998 40 None 0
78 ['用心布局挡二年，架空本人手机，断所有连络人，伪造一切，伪故事、伪法案、伪代理、截手机照片图改变再告发勒索？入侵帐户、转走钱、开走车，安排伪员工作乱、入侵家、公司破坏，拿走公司硬碟、截走111年3/25前法院通知书，自导自演？警员不出示证件来公司灭证、一群人依旧监控、破坏，来去自如？无法可管？人民保障？必须等到大家帐户钱不见？寄来小孩、孙子手指？才要重视？??这不是商业竞争，这是没有人性的土匪，在江湖上也不是这样做的，每个人都有父母亲有家人，伤一个帮助过你？有恩之人？'] 1.0 24 None 0
78 ['DrJ20年香兰自然人体科医研发中心数据会说话，除仁爱胳三段123巷，无、授权、无分店，勿受骗！022779024109585253290987365348预约/请前一周，消毒准备个人专用品Email[email]'] 0.646 24 None 0
78 ['咨询预约专线：02277902410958525329[url]20年案例，人体自然科医研发中心，数据会说话！三高、酸痛、睡眠、抗老…·??无分店、授权、勿受骗！欢迎生技、医院、医事人员洽谈体验。预约咨询体验：除仁爱路三段123巷无授权分店，勿受骗20年经验；DrJ香兰自然人体科医博士研发中心/三高、各式酸痛、睡眠··抗老前一周预约：周二、三、四、五、六早1000～下午500店休日、一体验咨询时间：2h含晶片检测、课程、保餐后验收、签约)个人专用体验用品材料费+课程=3元忠孝复兴2号出口02277902'] 0.022 22 None 0
78 ['连续二年；灭20年研发者，不断霸凌、直销侵权团队+诈骗?有钱什么都可以？盗帐号、盗图、告发勒索，伪代理、伪一切，依旧来去自如？自在如常？维护？姑息；人民保障？为选举失良心？只是害我们下一代…等著接孩子、孙子;一根手指、一颗肾？再勒索？把魔鬼养大了？无法控制？谁负责？魔鬼观光胜地？取代科技之岛？??'] 1.0 21 None 0
78 ['连续二年；灭20年研发者，不断霸凌、直销侵权团队+诈骗?有钱什么都可以？盗帐号、盗图、告发勒索，伪代理、伪一切，依旧来去自如？自在如常？维护？姑息；人民保障？为选举失良心？只是害我们下一代…等著接孩子、孙子;一根手指、一颗肾？再勒索？把魔鬼养大了？无法控制？谁负责？魔鬼观光胜地？取代科技之岛？??'] 1.0 21 None 0
78 ['连续二年；灭20年研发者，不断霸凌、直销侵权团队+诈骗?有钱什么都可以？盗帐号、盗图、告发勒索，伪代理、伪一切，依旧来去自如？自在如常？维护？姑息；人民保障？为选举失良心？只是害我们下一代…等著接孩子、孙子;一根手指、一颗肾？再勒索？把魔鬼养大了？无法控制？谁负责？魔鬼观光胜地？取代科技之岛？??'] 1.0 21 None 0
78 ['连续二年；灭20年研发者，不断霸凌、直销侵权团队+诈骗?有钱什么都可以？盗帐号、盗图、告发勒索，伪代理、伪一切，依旧来去自如？自在如常？维护？姑息；人民保障？为选举失良心？只是害我们下一代…等著接孩子、孙子;一根手指、一颗肾？再勒索？把魔鬼养大了？无法控制？谁负责？魔鬼观光胜地？取代科技之岛？??'] 1.0 21 None 0
78 ['连续二年；灭20年研发者，不断霸凌、直销侵权团队+诈骗?有钱什么都可以？盗帐号、盗图、告发勒索，伪代理、伪一切，依旧来去自如？自在如常？维护？姑息；人民保障？为选举失良心？只是害我们下一代…等著接孩子、孙子;一根手指、一颗肾？再勒索？把魔鬼养大了？无法控制？谁负责？魔鬼观光胜地？取代科技之岛？??'] 1.0 21 None 0
78 ['二年霸凌团队，来去自如？无法可管？我是乌克兰对俄罗斯？有报告参战？扛？理由？下车？演二年？自导自演？伪很大？法案、伪代理…·伪一切？'] 0.993 45 None 0
78 ['挡、盖、把我退出？盖不了黑心…'] 0.985 26 None 0
